tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0111112,movie,The Secret of Roan Inish,The Secret of Roan Inish,0,1994,103,"Drama,Family,Fantasy",7.4,10124
tt0111127,movie,Serial Mom,Serial Mom,0,1994,95,"Comedy,Crime,Thriller",6.8,35737
tt0111143,movie,The Shadow,The Shadow,0,1994,108,"Action,Adventure,Crime",6.0,27751
tt0111149,movie,Shallow Grave,Shallow Grave,0,1994,89,"Crime,Drama,Thriller",7.2,67729
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,142,Drama,9.3,2986007
tt0111201,movie,Sirens,Sirens,0,1994,98,"Comedy,Drama,Romance",5.9,11708
tt0111255,movie,The Specialist,The Specialist,0,1994,110,"Action,Drama,Thriller",5.6,71031
tt0111257,movie,Speed,Speed,0,1994,116,"Action,Adventure,Thriller",7.3,402610
tt0111280,movie,Star Trek: Generations,Star Trek: Generations,0,1994,118,"Action,Adventure,Mystery",6.6,88496
tt0111282,movie,Stargate,Stargate,0,1994,116,"Action,Adventure,Sci-Fi",7.0,210011
tt0111301,movie,Street Fighter,Street Fighter,0,1994,102,"Action,Adventure,Comedy",4.1,76919
tt0111323,movie,Surviving the Game,Surviving the Game,0,1994,96,"Action,Adventure,Crime",6.2,13635
tt0111333,movie,The Swan Princess,The Swan Princess,0,1994,90,"Adventure,Animation,Comedy",6.4,27714
tt0111341,movie,Satantango,Sátántangó,0,1994,439,Drama,8.2,13056
tt0111400,movie,Terminal Velocity,Terminal Velocity,0,1994,102,"Action,Mystery,Romance",5.5,14923
tt0111418,movie,Threesome,Threesome,0,1994,93,"Comedy,Drama,Romance",6.3,13887
tt0111419,movie,Thumbelina,Thumbelina,0,1994,86,"Adventure,Animation,Family",6.2,19209
tt0111438,movie,Timecop,Timecop,0,1994,99,"Action,Crime,Sci-Fi",5.9,65831
tt0111477,movie,Trapped in Paradise,Trapped in Paradise,0,1994,111,"Adventure,Comedy,Crime",5.9,17176
tt0111495,movie,Three Colors: Red,Trois couleurs: Rouge,0,1994,99,"Drama,Mystery,Romance",8.1,112458
tt0111503,movie,True Lies,True Lies,0,1994,141,"Action,Comedy,Thriller",7.3,288242
tt0111507,movie,Three Colors: White,Trois couleurs: Blanc,0,1994,92,"Comedy,Drama,Romance",7.6,81749
tt0111512,movie,Drunken Master II,Jui kuen II,0,1994,102,"Action,Comedy",7.5,49844
tt0111579,movie,Burnt by the Sun,Utomlennye solntsem,0,1994,135,"Drama,War",7.8,16623
tt0111667,movie,The War,The War,0,1994,126,"Drama,History,War",6.8,13848
tt0111686,movie,New Nightmare,Wes Craven's New Nightmare,0,1994,112,"Fantasy,Horror,Mystery",6.4,66377
tt0111693,movie,When a Man Loves a Woman,When a Man Loves a Woman,0,1994,126,"Drama,Romance",6.6,24030
tt0111732,movie,With Honors,With Honors,0,1994,101,"Comedy,Drama",6.7,16497
tt0111742,movie,Wolf,Wolf,0,1994,125,"Drama,Horror,Romance",6.3,61881
tt0111756,movie,Wyatt Earp,Wyatt Earp,0,1994,191,"Adventure,Biography,Drama",6.7,56429
tt0111797,movie,Eat Drink Man Woman,Yin shi nan nu,0,1994,124,"Comedy,Drama,Romance",7.8,23808
tt0111845,movie,Through the Olive Trees,Zire darakhatan zeyton,0,1994,103,Drama,7.7,10558
tt0112281,movie,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,0,1995,90,"Adventure,Comedy,Crime",6.4,239020
tt0112288,movie,The Addiction,The Addiction,0,1995,82,"Drama,Horror",6.4,12039
tt0112302,movie,Tom and Huck,Tom and Huck,0,1995,97,"Adventure,Comedy,Drama",5.5,11935
tt0112346,movie,The American President,The American President,0,1995,114,"Comedy,Drama,Romance",6.8,61795
tt0112384,movie,Apollo 13,Apollo 13,0,1995,140,"Adventure,Drama,History",7.7,322637
tt0112401,movie,Assassins,Assassins,0,1995,133,"Action,Crime,Thriller",6.3,89624
tt0112431,movie,Babe,Babe,0,1995,91,"Comedy,Drama,Family",6.9,137246
tt0112442,movie,Bad Boys,Bad Boys,0,1995,119,"Action,Comedy,Crime",6.8,301431
tt0112453,movie,Balto,Balto,0,1995,78,"Adventure,Animation,Drama",7.1,49385
tt0112461,movie,The Basketball Diaries,The Basketball Diaries,0,1995,102,"Biography,Crime,Drama",7.3,124637
tt0112462,movie,Batman Forever,Batman Forever,0,1995,121,"Action,Adventure",5.4,271777
tt0112471,movie,Before Sunrise,Before Sunrise,0,1995,101,"Drama,Romance",8.1,351930
tt0112499,movie,The Big Green,The Big Green,0,1995,100,"Comedy,Family,Sport",5.5,11290
tt0112508,movie,Billy Madison,Billy Madison,0,1995,89,Comedy,6.4,160498
tt0112541,movie,Blue in the Face,Blue in the Face,0,1995,83,Comedy,6.6,10307
tt0112553,movie,Bombay,Bombay,0,1995,130,"Drama,Romance",8.1,13976
tt0112571,movie,Boys on the Side,Boys on the Side,0,1995,115,"Comedy,Drama",6.5,14469
tt0112572,movie,The Brady Bunch Movie,The Brady Bunch Movie,0,1995,90,Comedy,6.2,25053
tt0112573,movie,Braveheart,Braveheart,0,1995,178,"Biography,Drama,War",8.3,1116061
tt0112579,movie,The Bridges of Madison County,The Bridges of Madison County,0,1995,135,"Drama,Romance",7.6,91514
tt0112625,movie,Candyman: Farewell to the Flesh,Candyman: Farewell to the Flesh,0,1995,95,"Horror,Thriller",5.3,14897
tt0112641,movie,Casino,Casino,0,1995,178,"Crime,Drama",8.2,581772
tt0112642,movie,Casper,Casper,0,1995,100,"Comedy,Family,Fantasy",6.2,151345
tt0112682,movie,The City of Lost Children,La cité des enfants perdus,0,1995,112,"Adventure,Drama,Fantasy",7.5,72774
tt0112688,movie,Clockers,Clockers,0,1995,128,"Crime,Drama,Mystery",6.9,23926
tt0112697,movie,Clueless,Clueless,0,1995,97,"Comedy,Romance",6.9,257385
tt0112715,movie,Congo,Congo,0,1995,109,"Action,Adventure,Mystery",5.3,49767
tt0112722,movie,Copycat,Copycat,0,1995,123,"Drama,Mystery,Thriller",6.6,68572
tt0112740,movie,Crimson Tide,Crimson Tide,0,1995,116,"Action,Drama,Thriller",7.4,127134
tt0112744,movie,The Crossing Guard,The Crossing Guard,0,1995,111,"Drama,Thriller",6.3,14810
tt0112750,movie,Crying Freeman,Crying Freeman,0,1995,102,"Action,Crime,Thriller",6.4,13873
tt0112757,movie,The Cure,The Cure,0,1995,97,"Adventure,Drama",7.7,11058
tt0112760,movie,Cutthroat Island,Cutthroat Island,0,1995,124,"Action,Adventure,Comedy",5.7,31485
tt0112769,movie,La Cérémonie,La cérémonie,0,1995,111,"Crime,Drama,Thriller",7.5,14340
tt0112792,movie,Dangerous Minds,Dangerous Minds,0,1995,99,"Biography,Drama",6.5,58411
tt0112817,movie,Dead Man,Dead Man,0,1995,121,"Adventure,Comedy,Drama",7.5,105017
tt0112818,movie,Dead Man Walking,Dead Man Walking,0,1995,122,"Crime,Drama",7.5,103577
tt0112819,movie,Dead Presidents,Dead Presidents,0,1995,119,"Action,Crime,Drama",6.9,25165
tt0112851,movie,Desperado,Desperado,0,1995,104,"Action,Crime,Drama",7.1,201380
tt0112857,movie,Devil in a Blue Dress,Devil in a Blue Dress,0,1995,102,"Crime,Drama,Mystery",6.8,25616
tt0112864,movie,Die Hard with a Vengeance,Die Hard with a Vengeance,0,1995,128,"Action,Adventure,Thriller",7.6,416679
tt0112870,movie,Dilwale Dulhania Le Jayenge,Dilwale Dulhania Le Jayenge,0,1995,181,"Drama,Romance",8.0,79140
tt0112883,movie,Don Juan DeMarco,Don Juan DeMarco,0,1994,97,"Comedy,Drama,Romance",6.7,54009
tt0112887,movie,The Doom Generation,The Doom Generation,0,1995,83,"Comedy,Crime,Drama",6.1,18563
tt0112896,movie,Dracula: Dead and Loving It,Dracula: Dead and Loving It,0,1995,88,"Comedy,Fantasy,Horror",5.8,46364
tt0112913,movie,Fallen Angels,Do lok tin si,0,1995,99,"Comedy,Crime,Drama",7.5,54066
tt0112922,movie,The Day of the Beast,El día de la bestia,0,1995,99,"Action,Comedy,Crime",7.3,24670
tt0112950,movie,Empire Records,Empire Records,0,1995,90,"Comedy,Drama,Music",6.7,63797
tt0112966,movie,The Englishman Who Went Up a Hill But Came Down a Mountain,The Englishman Who Went Up a Hill But Came Down a Mountain,0,1995,99,"Comedy,Drama,Romance",6.6,19016
tt0113010,movie,Fair Game,Fair Game,0,1995,91,"Action,Romance,Thriller",4.4,14146
tt0113041,movie,Father of the Bride Part II,Father of the Bride Part II,0,1995,106,"Comedy,Family,Romance",6.1,42714
tt0113071,movie,First Knight,First Knight,0,1995,134,"Action,Adventure,Drama",6.0,80173
tt0113083,movie,The Flower of My Secret,La flor de mi secreto,0,1995,103,"Comedy,Drama",7.0,13142
tt0113097,movie,Forget Paris,Forget Paris,0,1995,101,"Comedy,Romance",6.5,13315
tt0113101,movie,Four Rooms,Four Rooms,0,1995,98,Comedy,6.7,113064
tt0113114,movie,Free Willy 2: The Adventure Home,Free Willy 2: The Adventure Home,0,1995,95,"Adventure,Drama,Family",5.1,19938
tt0113117,movie,French Kiss,French Kiss,0,1995,111,"Comedy,Drama,Romance",6.6,54404
tt0113118,movie,Friday,Friday,0,1995,91,"Comedy,Drama",7.2,128497
tt0113161,movie,Get Shorty,Get Shorty,0,1995,105,"Comedy,Crime,Thriller",6.9,91530
tt0113189,movie,GoldenEye,GoldenEye,0,1995,130,"Action,Adventure,Thriller",7.2,275302
tt0113198,movie,A Goofy Movie,A Goofy Movie,0,1995,78,"Adventure,Animation,Comedy",6.9,65101
tt0113211,movie,The Grass Harp,The Grass Harp,0,1995,107,"Comedy,Drama",6.6,19735
tt0113228,movie,Grumpier Old Men,Grumpier Old Men,0,1995,101,"Comedy,Romance",6.7,30393
tt0113243,movie,Hackers,Hackers,0,1995,105,"Crime,Drama,Romance",6.2,77215
